SaleId,Category,Product,Qty,Sale
QA-0095,Jeans,Lee Jeans,10.0,255.15
QA-0096,Perfumes,Fogg Perfumes,4.0,421.2
QA-0097,Tshirts,Zara Tshirt,2.0,480.6
QA-0098,Smart Phone,Samsung Smart Phone,4.0,289.8
QA-0099,Water bottles,Kinley Water bottles,5.0,314.55
QA-0100,Water bottles,Kinley Water bottles,6.0,291.6
QA-0101,Tshirts,Puma Tshirt,4.0,390.15
QA-0102,Tshirts,Adidas Tshirt,1.0,333.9
QA-0103,Perfumes,Denver Perfumes,7.0,369.45
QA-0104,Jeans,Wrangler Jeans,3.0,377.55
QA-0105,Shoes,Nike Shoes,8.0,277.2
QA-0106,Tshirts,Puma Tshirt,1.0,390.15
QA-0107,Jeans,Mufti Jeans,4.0,293.85
QA-0108,Smart Phone,OnePlus Smart Phone,9.0,373.5
QA-0109,Smart Phone,Samsung Smart Phone,1.0,435.6
QA-0110,Tshirts,Peter England Tshirt,7.0,390.15
QA-0111,Perfumes,Wild Stone Perfumes,9.0,369.45
QA-0112,Tshirts,Adidas Tshirt,10.0,333.9
QA-0113,Smart Phone,Vivo Smart Phone,1.0,472.5
QA-0114,Shoes,Woodland Shoes,2.0,340.65
QA-0115,Smart Phone,Redmi Smart Phone,2.0,289.8
QA-0116,Jeans,Lee Jeans,10.0,377.55
QA-0117,Shoes,Bata Shoes,10.0,396.9
QA-0118,Smart Phone,OnePlus Smart Phone,4.0,435.6
QA-0119,Water bottles,Tupperware Water bottles,6.0,299.25
QA-0120,Smart Phone,Samsung Smart Phone,2.0,478.35
QA-0121,Smart Phone,Redmi Smart Phone,5.0,435.6
QA-0122,Tshirts,Adidas Tshirt,1.0,480.6
QA-0123,Shoes,Adidas Shoes,9.0,396.9
QA-0124,Shoes,Nike Shoes,7.0,240.3
QA-0125,Water bottles,Cello Water bottles,9.0,244.8
QA-0126,Smart Phone,OnePlus Smart Phone,2.0,472.5
QA-0127,Perfumes,AXE Perfumes,3.0,480.6
QA-0128,Perfumes,Denver Perfumes,2.0,480.6
QA-0129,Smart Phone,iPhone Smart Phone,2.0,475.2
QA-0130,Jeans,Lee Jeans,10.0,255.15
QA-0131,Jeans,Pepe Jeans Jeans,3.0,255.15
QA-0132,Tshirts,Nike Tshirt,6.0,333.9
QA-0133,Jeans,Pepe Jeans Jeans,2.0,402.75
QA-0134,Shoes,Adidas Shoes,4.0,240.3
QA-0135,Smart Phone,Samsung Smart Phone,5.0,289.8
QA-0136,Water bottles,Kinley Water bottles,1.0,452.25
QA-0137,Jeans,Mufti Jeans,8.0,470.25
QA-0138,Tshirts,Puma Tshirt,6.0,390.15
QA-0139,Shoes,Reebok Shoes,2.0,477.45
QA-0140,Perfumes,Park Avenue Perfumes,,369.45
QA-0141,Perfumes,AXE Perfumes,6.0,480.6
QA-0142,Perfumes,Wild Stone Perfumes,5.0,369.45
QA-0143,Perfumes,Denver Perfumes,7.0,421.2
QA-0144,Perfumes,Park Avenue Perfumes,6.0,369.45
QA-0145,Perfumes,Wild Stone Perfumes,9.0,480.6
QA-0146,Water bottles,Aquafina Water bottles,1.0,452.25
QA-0147,Smart Phone,Samsung Smart Phone,7.0,472.5
QA-0148,Shoes,Nike Shoes,7.0,340.65
QA-0149,Jeans,Levi's Jeans,8.0,293.85
QA-0150,Smart Phone,Vivo Smart Phone,8.0,472.5
QA-0151,Tshirts,Adidas Tshirt,8.0,415.35
QA-0152,Tshirts,Puma Tshirt,,480.6
QA-0153,Water bottles,Kinley Water bottles,1.0,314.55
QA-0154,Smart Phone,Vivo Smart Phone,2.0,475.2
QA-0155,Water bottles,Aquafina Water bottles,3.0,407.25
QA-0156,Perfumes,Wild Stone Perfumes,7.0,437.4
QA-0157,Smart Phone,Samsung Smart Phone,3.0,478.35
QA-0158,Smart Phone,Samsung Smart Phone,10.0,289.8
QA-0159,Shoes,Adidas Shoes,5.0,340.65
QA-0160,Smart Phone,Samsung Smart Phone,7.0,289.8
QA-0161,Tshirts,Adidas Tshirt,9.0,240.3
QA-0162,Shoes,Woodland Shoes,6.0,340.65
QA-0163,Smart Phone,OnePlus Smart Phone,7.0,472.5
QA-0164,Tshirts,Puma Tshirt,7.0,390.15
QA-0165,Smart Phone,Redmi Smart Phone,1.0,478.35
QA-0166,Shoes,Nike Shoes,1.0,522.9
QA-0167,Shoes,Nike Shoes,8.0,340.65
QA-0168,Water bottles,Aquafina Water bottles,10.0,244.8
QA-0169,Shoes,Bata Shoes,10.0,477.45
QA-0170,Smart Phone,iPhone Smart Phone,8.0,472.5
QA-0171,Tshirts,Nike Tshirt,3.0,390.15
QA-0172,Shoes,Bata Shoes,10.0,277.2
QA-0173,Perfumes,Denver Perfumes,7.0,437.4
QA-0174,Jeans,Lee Jeans,2.0,402.75
QA-0175,Water bottles,Tupperware Water bottles,6.0,244.8
QA-0176,Shoes,Woodland Shoes,6.0,340.65
QA-0177,Water bottles,Kinley Water bottles,6.0,244.8
QA-0178,Perfumes,AXE Perfumes,2.0,369.45
QA-0179,Shoes,Woodland Shoes,5.0,477.45
QA-0180,Water bottles,Tupperware Water bottles,2.0,299.25
QA-0181,Smart Phone,Samsung Smart Phone,5.0,478.35
QA-0182,Jeans,Levi's Jeans,9.0,402.75
QA-0183,Water bottles,Cello Water bottles,8.0,299.25
QA-0184,Water bottles,Aquafina Water bottles,6.0,291.6
QA-0185,Water bottles,Milton Water bottles,,452.25
QA-0186,Jeans,Pepe Jeans Jeans,3.0,338.4
QA-0187,Tshirts,Adidas Tshirt,3.0,240.3
QA-0188,Perfumes,Denver Perfumes,10.0,437.4
QA-0189,Perfumes,Fogg Perfumes,1.0,437.4
QA-0190,Smart Phone,OnePlus Smart Phone,4.0,435.6
QA-0191,Water bottles,Kinley Water bottles,2.0,299.25
QA-0192,Tshirts,Peter England Tshirt,3.0,240.3
QA-0193,Jeans,Wrangler Jeans,6.0,338.4
QA-0194,Smart Phone,iPhone Smart Phone,7.0,435.6
QA-0195,Shoes,Adidas Shoes,1.0,522.9
QA-0196,Jeans,Levi's Jeans,10.0,377.55
QA-0197,Water bottles,Milton Water bottles,6.0,452.25
QA-0198,Jeans,Levi's Jeans,8.0,293.85
QA-0199,Jeans,Lee Jeans,8.0,293.85
QA-0200,Tshirts,Peter England Tshirt,3.0,525.15
QA-0201,Tshirts,Peter England Tshirt,1.0,525.15
QA-0202,Tshirts,Zara Tshirt,3.0,415.35
QA-0203,Water bottles,Aquafina Water bottles,10.0,291.6
QA-0204,Perfumes,Fogg Perfumes,4.0,480.6
QA-0205,Water bottles,Milton Water bottles,10.0,407.25
QA-0206,Tshirts,Nike Tshirt,5.0,415.35
QA-0207,Tshirts,Zara Tshirt,9.0,525.15
QA-0208,Tshirts,Peter England Tshirt,8.0,415.35
QA-0209,Smart Phone,OnePlus Smart Phone,3.0,475.2
QA-0210,Tshirts,Peter England Tshirt,4.0,525.15
QA-0211,Perfumes,Denver Perfumes,10.0,437.4
QA-0212,Shoes,Woodland Shoes,3.0,277.2
QA-0213,Smart Phone,Vivo Smart Phone,10.0,472.5
QA-0214,Shoes,Nike Shoes,1.0,240.3
QA-0215,Smart Phone,OnePlus Smart Phone,10.0,478.35
QA-0216,Jeans,Wrangler Jeans,7.0,255.15
QA-0217,Smart Phone,Redmi Smart Phone,2.0,472.5
QA-0218,Smart Phone,Redmi Smart Phone,4.0,478.35
QA-0219,Perfumes,Park Avenue Perfumes,6.0,437.4
QA-0220,Tshirts,Puma Tshirt,2.0,240.3
QA-0221,Smart Phone,Vivo Smart Phone,2.0,373.5
QA-0222,Smart Phone,iPhone Smart Phone,3.0,289.8
QA-0223,Tshirts,Zara Tshirt,5.0,240.3
QA-0224,Tshirts,Zara Tshirt,8.0,415.35
QA-0225,Perfumes,Wild Stone Perfumes,,369.45
QA-0226,Smart Phone,Redmi Smart Phone,2.0,478.35
QA-0227,Smart Phone,Vivo Smart Phone,7.0,435.6
QA-0228,Water bottles,Milton Water bottles,2.0,314.55
QA-0229,Tshirts,Puma Tshirt,9.0,415.35
QA-0230,Water bottles,Milton Water bottles,4.0,291.6
QA-0231,Water bottles,Tupperware Water bottles,9.0,291.6
QA-0232,Perfumes,AXE Perfumes,8.0,437.4
QA-0233,Jeans,Pepe Jeans Jeans,9.0,470.25
QA-0234,Water bottles,Milton Water bottles,9.0,244.8
QA-0235,Tshirts,Zara Tshirt,8.0,480.6
QA-0236,Perfumes,AXE Perfumes,3.0,369.45
QA-0237,Shoes,Woodland Shoes,5.0,340.65
QA-0238,Water bottles,Cello Water bottles,3.0,452.25
QA-0239,Shoes,Adidas Shoes,4.0,522.9
QA-0240,Tshirts,Nike Tshirt,2.0,333.9
QA-0241,Perfumes,AXE Perfumes,,480.6
QA-0242,Tshirts,Puma Tshirt,3.0,333.9
QA-0243,Jeans,Pepe Jeans Jeans,4.0,402.75
QA-0244,Water bottles,Cello Water bottles,5.0,407.25
QA-0245,Tshirts,Zara Tshirt,9.0,240.3
QA-0246,Water bottles,Milton Water bottles,5.0,291.6
QA-0247,Water bottles,Cello Water bottles,6.0,314.55
QA-0248,Perfumes,Denver Perfumes,9.0,494.1
QA-0249,Jeans,Levi's Jeans,1.0,255.15
QA-0250,Perfumes,Denver Perfumes,7.0,480.6
QA-0251,Jeans,Mufti Jeans,5.0,255.15
QA-0252,Smart Phone,Samsung Smart Phone,9.0,475.2
QA-0253,Shoes,Nike Shoes,6.0,522.9
QA-0254,Jeans,Pepe Jeans Jeans,1.0,402.75
QA-0255,Smart Phone,Samsung Smart Phone,1.0,435.6
QA-0256,Tshirts,Zara Tshirt,9.0,415.35
QA-0257,Jeans,Pepe Jeans Jeans,6.0,338.4
QA-0258,Shoes,Reebok Shoes,6.0,522.9
QA-0259,Water bottles,Cello Water bottles,8.0,291.6
QA-0260,Jeans,Wrangler Jeans,4.0,470.25
QA-0261,Shoes,Woodland Shoes,5.0,396.9
QA-0262,Smart Phone,OnePlus Smart Phone,4.0,475.2
QA-0263,Jeans,Wrangler Jeans,6.0,255.15
QA-0264,Shoes,Reebok Shoes,,477.45
QA-0265,Perfumes,Fogg Perfumes,,421.2
QA-0266,Perfumes,Wild Stone Perfumes,6.0,421.2
QA-0267,Tshirts,Zara Tshirt,1.0,480.6
QA-0268,Water bottles,Tupperware Water bottles,5.0,299.25
QA-0269,Smart Phone,Samsung Smart Phone,1.0,373.5
QA-0270,Perfumes,Fogg Perfumes,8.0,421.2
QA-0271,Perfumes,AXE Perfumes,9.0,369.45
QA-0272,Smart Phone,Samsung Smart Phone,4.0,435.6
QA-0273,Tshirts,Adidas Tshirt,8.0,333.9
QA-0274,Tshirts,Zara Tshirt,8.0,525.15
QA-0275,Shoes,Woodland Shoes,4.0,477.45
QA-0276,Shoes,Woodland Shoes,9.0,522.9
QA-0277,Tshirts,Zara Tshirt,2.0,240.3
QA-0278,Smart Phone,Samsung Smart Phone,4.0,478.35
QA-0279,Tshirts,Nike Tshirt,1.0,390.15
QA-0280,Shoes,Bata Shoes,10.0,277.2
QA-0281,Tshirts,Puma Tshirt,5.0,333.9
QA-0282,Water bottles,Kinley Water bottles,6.0,244.8
QA-0283,Perfumes,Wild Stone Perfumes,5.0,369.45
QA-0284,Jeans,Wrangler Jeans,9.0,377.55
QA-0285,Smart Phone,OnePlus Smart Phone,7.0,478.35
QA-0286,Water bottles,Aquafina Water bottles,4.0,291.6
QA-0287,Perfumes,Wild Stone Perfumes,1.0,437.4
QA-0288,Perfumes,Park Avenue Perfumes,7.0,494.1
QA-0289,Water bottles,Tupperware Water bottles,7.0,407.25
QA-0290,Perfumes,Wild Stone Perfumes,4.0,437.4
QA-0291,Tshirts,Puma Tshirt,5.0,525.15
QA-0292,Shoes,Reebok Shoes,10.0,477.45
QA-0293,Perfumes,Park Avenue Perfumes,4.0,480.6
QA-0294,Smart Phone,Vivo Smart Phone,1.0,475.2
QA-0295,Jeans,Levi's Jeans,10.0,402.75
QA-0296,Water bottles,Kinley Water bottles,5.0,407.25
QA-0297,Smart Phone,Redmi Smart Phone,4.0,472.5
QA-0298,Tshirts,Peter England Tshirt,10.0,415.35
QA-0299,Perfumes,Denver Perfumes,10.0,369.45
QA-0300,Shoes,Nike Shoes,8.0,396.9
